                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |                       75*mm 240.000*mm 330*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment01  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |79.604584*mm 79.604704*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment02  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |79.604584*mm 79.604704*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment03  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |79.604584*mm 79.604704*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment01  |                 BMT  |DriftKapton C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |79.604704*mm 79.854704*mm 31.5385459522971*mm 2.15926107255228*deg 115.681477854895*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment02  |                 BMT  |DriftKapton C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |79.604704*mm 79.854704*mm 31.5385459522971*mm 2.15926107255228*deg 115.681477854895*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment03  |                 BMT  |DriftKapton C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |79.604704*mm 79.854704*mm 31.5385459522971*mm 2.15926107255228*deg 115.681477854895*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_C_Layer1_Segment01  |                 BMT  |DriftCuGround C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |79.854704*mm 79.855114*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_C_Layer1_Segment02  |                 BMT  |DriftCuGround C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |79.854704*mm 79.855114*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_C_Layer1_Segment03  |                 BMT  |DriftCuGround C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |79.854704*mm 79.855114*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer2_Segment01  |                 BMT  |CuGround Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |108.05*mm 108.051584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
