sector0_superlayer1_layer1_paddle9 | root|   0.0000*mm   0.0000*mm -13.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 9
sector0_superlayer1_layer2_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 0
sector0_superlayer1_layer2_paddle1 | root|   0.0000*mm   0.0000*mm -237.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 1
sector0_superlayer1_layer2_paddle2 | root|   0.0000*mm   0.0000*mm -209.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 2
sector0_superlayer1_layer2_paddle3 | root|   0.0000*mm   0.0000*mm -181.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 3
sector0_superlayer1_layer2_paddle4 | root|   0.0000*mm   0.0000*mm -153.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 4
sector0_superlayer1_layer2_paddle5 | root|   0.0000*mm   0.0000*mm -125.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 5
sector0_superlayer1_layer2_paddle6 | root|   0.0000*mm   0.0000*mm -97.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 6
sector0_superlayer1_layer2_paddle7 | root|   0.0000*mm   0.0000*mm -69.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 7
sector0_superlayer1_layer2_paddle8 | root|   0.0000*mm   0.0000*mm -41.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 8
sector0_superlayer1_layer2_paddle9 | root|   0.0000*mm   0.0000*mm -13.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm     -16.757934*mm      78.331819*mm     -20.921875*mm      97.921618*mm     -30.841934*mm      95.263547*mm     -24.653113*mm      76.216313*mm  | 0 1 2 9
sector0_superlayer1_layer3_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 0
sector0_superlayer1_layer3_paddle1 | root|   0.0000*mm   0.0000*mm -237.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 1
sector0_superlayer1_layer3_paddle2 | root|   0.0000*mm   0.0000*mm -209.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm     -24.854037*mm      76.151028*mm     -31.042859*mm      95.198262*mm     -40.630730*mm      91.517823*mm     -32.484834*mm      73.221840*mm  | 0 1 3 2
