           EpoxyRib5  |         ahdc_mother  |              ATOF Epoxy rib 5  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 165.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240021 
           EpoxyRib6  |         ahdc_mother  |              ATOF Epoxy rib 6  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 189.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240022 
           EpoxyRib7  |         ahdc_mother  |              ATOF Epoxy rib 7  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 237.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240023 
           EpoxyRib8  |         ahdc_mother  |              ATOF Epoxy rib 8  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 261.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240024 
           EpoxyRib9  |         ahdc_mother  |              ATOF Epoxy rib 9  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 309.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240025 
          EpoxyRib10  |         ahdc_mother  |             ATOF Epoxy rib 10  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 333.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240026 
        frontGasRing  |         ahdc_mother  |                Front Gas Ring  |                              0*mm 0*mm 102.411*mm  |                                   0 0 0  | fffb00   |                Tube  |                    219.075*mm 250.851*mm 8*mm 0*deg 360*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual240012 
         backGasRing  |         ahdc_mother  |                 Back Gas Ring  |                             0*mm 0*mm -169.364*mm  |                                   0 0 0  | fffb00   |                Tube  |                 219.075*mm 234.95*mm 6.275*mm 0*deg 360*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual240014 
           epoxyring  |         ahdc_mother  |                 Back Gas Ring  |                               0*mm 0*mm 313.27*mm  |                                   0 0 0  | c82566   |                Tube  |                       15.82*mm 23.985*mm 9*mm 0*deg 360*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240043 
          frontmacor  |         ahdc_mother  |        Front MACOR AHDC plate  |                              0*mm 0*mm 170.148*mm  |                                   0 0 0  | ffff00   |                Tube  |                          28*mm 90*mm 2.325*mm 0*deg 360*deg  |  G4_SILICON_DIOXIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24008 
         frontAlPins  |         ahdc_mother  |        Front AL pins on plate  |                              0*mm 0*mm 172.744*mm  |                                   0 0 0  | c82566   |                Tube  |                          32*mm 68*mm 0.271*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240010 
        frontcarbon1  |         ahdc_mother  |     Front CARBON AHDC plate 1  |                             0*mm 0*mm 163.4115*mm  |                                   0 0 0  | c8b525   |                Tube  |                        74*mm 151*mm 4.4115*mm 0*deg 360*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24007 
        frontcarbon2  |         ahdc_mother  |     Front CARBON AHDC plate 2  |                              0*mm 0*mm 170.148*mm  |                                   0 0 0  | 550000   |                Tube  |                         90*mm 151*mm 2.325*mm 0*deg 360*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24009 
   frontEpoxySupport  |         ahdc_mother  |           Front Epoxy Support  |                                  0*mm 0*mm 175*mm  |                                   0 0 0  | c82566   |                Tube  |                         28*mm 111*mm 1.987*mm 0*deg 360*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 suparlayer manual 0 layer manual 0 component manual 240028 
              backAl  |         ahdc_mother  |            Back AL AHDC plate  |                             0*mm 0*mm -164.182*mm  |                                   0 0 0  | aaaa00   |                Tube  |                         75*mm 205*mm 5.182*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240011 
