       regionGas1_s6  |          region1_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s1  |          region2_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s2  |          region2_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s3  |          region2_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s4  |          region2_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s5  |          region2_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas2_s6  |          region2_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 2  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |17.0657815*cm -0.4363323*rad 1.5707963*rad 130.2713769*cm 5.2131796*cm 141.3347081*cm 0*rad 138.4175692*cm 9.7553121*cm 154.4019457*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s1  |          region3_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s2  |          region3_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s3  |          region3_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 3  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 195.82108*cm 10.1229354*cm 210.7379378*cm 0*rad 205.4410256*cm 16.4993935*cm 226.9799247*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
