       sl1_layer4_s6  |          region1_s6  |Region 1, Super Layer 1, layer 4, Sector 6  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer5_s1  |          region1_s1  |Region 1, Super Layer 1, layer 5, Sector 1  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s2  |          region1_s2  |Region 1, Super Layer 1, layer 5, Sector 2  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s3  |          region1_s3  |Region 1, Super Layer 1, layer 5, Sector 3  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s4  |          region1_s4  |Region 1, Super Layer 1, layer 5, Sector 4  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s5  |          region1_s5  |Region 1, Super Layer 1, layer 5, Sector 5  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer5_s6  |          region1_s6  |Region 1, Super Layer 1, layer 5, Sector 6  |           -2.4948662*cm -5.2015538*cm -3.75659*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad 75.579905*cm 7.2504146*cm 85.8442813*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 5 wire manual 1 
       sl1_layer6_s1  |          region1_s1  |Region 1, Super Layer 1, layer 6, Sector 1  |           -2.4911988*cm -5.8744721*cm -2.59811*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s2  |          region1_s2  |Region 1, Super Layer 1, layer 6, Sector 2  |           -2.4911988*cm -5.8744721*cm -2.59811*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 6 wire manual 1 
       sl1_layer6_s3  |          region1_s3  |Region 1, Super Layer 1, layer 6, Sector 3  |           -2.4911988*cm -5.8744721*cm -2.59811*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad 75.5799049*cm 7.1819907*cm 85.7758573*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 6 wire manual 1 
