       mucal_102_117  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -6.975*cm 63.1340624*cm  |     -6.3044243*deg 25.5824497*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_118  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -5.425*cm 63.2656527*cm  |     -4.9010971*deg 25.5360165*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_119  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -3.875*cm 63.3652278*cm  |     -3.4994745*deg 25.5009847*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_120  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -2.325*cm 63.4320412*cm  |      -2.0991454*deg 25.477529*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_121  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -0.775*cm 63.4655788*cm  |     -0.6996237*deg 25.4657704*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_122  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 0.775*cm 63.4655788*cm  |      0.6996237*deg 25.4657704*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_123  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 2.325*cm 63.4320412*cm  |       2.0991454*deg 25.477529*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_124  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 3.875*cm 63.3652278*cm  |      3.4994745*deg 25.5009847*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_125  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 5.425*cm 63.2656527*cm  |      4.9010971*deg 25.5360165*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_126  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                 -30.225*cm 6.975*cm 63.1340624*cm  |      6.3044243*deg 25.5824497*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
