         ahdc_mother  |                root  |                  Alert mother  |                              0.0*mm 0.0*mm 0.0*mm  |                                   0 0 0  | aa00ff   |                Tube  |                    0.4*cm 23.5*cm 32.227*cm 0.*deg 360.*deg  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
superlayer1_layer1_ahdccell11_subcell1  |         ahdc_mother  |         AHDCcell 11 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm       5.655198*mm      33.526389*mm       7.881885*mm      33.073795*mm       6.954605*mm      29.182760*mm       4.989881*mm      29.582108*mm      16.339761*mm      29.816308*mm      18.294782*mm      28.658349*mm      16.142455*mm      25.286778*mm      14.417436*mm      26.308507*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 11 side manual 0 
superlayer1_layer1_ahdccell11_subcell2  |         ahdc_mother  |         AHDCcell 11 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm       4.989881*mm      29.582108*mm       3.002871*mm      29.849334*mm       3.403254*mm      33.829246*mm       5.655198*mm      33.526389*mm      14.417436*mm      26.308507*mm      12.628026*mm      27.212735*mm      14.311762*mm      30.841100*mm      16.339761*mm      29.816308*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 11 side manual 0 
superlayer1_layer1_ahdccell12_subcell1  |         ahdc_mother  |         AHDCcell 12 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm       1.136109*mm      33.981013*mm       3.403254*mm      33.829246*mm       3.002871*mm      29.849334*mm       1.002449*mm      29.983247*mm      12.219844*mm      31.728148*mm      14.311762*mm      30.841100*mm      12.628026*mm      27.212735*mm      10.782216*mm      27.995425*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 12 side manual 0 
superlayer1_layer1_ahdccell12_subcell2  |         ahdc_mother  |         AHDCcell 12 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm       1.002449*mm      29.983247*mm      -1.002449*mm      29.983247*mm      -1.136109*mm      33.981013*mm       1.136109*mm      33.981013*mm      10.782216*mm      27.995425*mm       8.888249*mm      28.653081*mm      10.073349*mm      32.473491*mm      12.219844*mm      31.728148*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 12 side manual 0 
superlayer1_layer1_ahdccell13_subcell1  |         ahdc_mother  |         AHDCcell 13 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      -3.403254*mm      33.829246*mm      -1.136109*mm      33.981013*mm      -1.002449*mm      29.983247*mm      -3.002871*mm      29.849334*mm       7.881864*mm      33.073800*mm      10.073349*mm      32.473491*mm       8.888249*mm      28.653081*mm       6.954586*mm      29.182764*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 13 side manual 0 
superlayer1_layer1_ahdccell13_subcell2  |         ahdc_mother  |         AHDCcell 13 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      -3.002871*mm      29.849334*mm      -4.989881*mm      29.582108*mm      -5.655198*mm      33.526389*mm      -3.403254*mm      33.829246*mm       6.954586*mm      29.182764*mm       4.989862*mm      29.582111*mm       5.655177*mm      33.526392*mm       7.881864*mm      33.073800*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 13 side manual 0 
superlayer1_layer1_ahdccell14_subcell1  |         ahdc_mother  |         AHDCcell 14 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      -7.881885*mm      33.073795*mm      -5.655198*mm      33.526389*mm      -4.989881*mm      29.582108*mm      -6.954605*mm      29.182760*mm       3.403232*mm      33.829248*mm       5.655177*mm      33.526392*mm       4.989862*mm      29.582111*mm       3.002852*mm      29.849336*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 14 side manual 0 
superlayer1_layer1_ahdccell14_subcell2  |         ahdc_mother  |         AHDCcell 14 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      -6.954605*mm      29.182760*mm      -8.888267*mm      28.653075*mm     -10.073370*mm      32.473485*mm      -7.881885*mm      33.073795*mm       3.002852*mm      29.849336*mm       1.002430*mm      29.983248*mm       1.136088*mm      33.981014*mm       3.403232*mm      33.829248*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 14 side manual 0 
superlayer1_layer1_ahdccell15_subcell1  |         ahdc_mother  |         AHDCcell 15 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -12.219864*mm      31.728141*mm     -10.073370*mm      32.473485*mm      -8.888267*mm      28.653075*mm     -10.782233*mm      27.995418*mm      -1.136131*mm      33.981012*mm       1.136088*mm      33.981014*mm       1.002430*mm      29.983248*mm      -1.002468*mm      29.983246*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 15 side manual 0 
superlayer1_layer1_ahdccell15_subcell2  |         ahdc_mother  |         AHDCcell 15 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -10.782233*mm      27.995418*mm     -12.628043*mm      27.212727*mm     -14.311782*mm      30.841091*mm     -12.219864*mm      31.728141*mm      -1.002468*mm      29.983246*mm      -3.002890*mm      29.849333*mm      -3.403275*mm      33.829244*mm      -1.136131*mm      33.981012*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 15 side manual 0 
superlayer1_layer1_ahdccell16_subcell1  |         ahdc_mother  |         AHDCcell 16 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -16.339780*mm      29.816298*mm     -14.311782*mm      30.841091*mm     -12.628043*mm      27.212727*mm     -14.417453*mm      26.308498*mm      -5.655219*mm      33.526385*mm      -3.403275*mm      33.829244*mm      -3.002890*mm      29.849333*mm      -4.989899*mm      29.582104*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 16 side manual 0 
superlayer1_layer1_ahdccell16_subcell2  |         ahdc_mother  |         AHDCcell 16 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -14.417453*mm      26.308498*mm     -16.142471*mm      25.286768*mm     -18.294800*mm      28.658337*mm     -16.339780*mm      29.816298*mm      -4.989899*mm      29.582104*mm      -6.954623*mm      29.182756*mm      -7.881906*mm      33.073790*mm      -5.655219*mm      33.526385*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 16 side manual 0 
superlayer1_layer1_ahdccell17_subcell1  |         ahdc_mother  |         AHDCcell 17 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -20.168111*mm      27.372382*mm     -18.294800*mm      28.658337*mm     -16.142471*mm      25.286768*mm     -17.795392*mm      24.152102*mm     -10.073390*mm      32.473479*mm      -7.881906*mm      33.073790*mm      -6.954623*mm      29.182756*mm      -8.888286*mm      28.653069*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 17 side manual 0 
superlayer1_layer1_ahdccell17_subcell2  |         ahdc_mother  |         AHDCcell 17 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -17.795392*mm      24.152102*mm     -19.368836*mm      22.909566*mm     -21.951347*mm      25.964175*mm     -20.168111*mm      27.372382*mm      -8.888286*mm      28.653069*mm     -10.782251*mm      27.995412*mm     -12.219884*mm      31.728133*mm     -10.073390*mm      32.473479*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 17 side manual 0 
superlayer1_layer1_ahdccell18_subcell1  |         ahdc_mother  |         AHDCcell 18 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -23.636543*mm      24.440005*mm     -21.951347*mm      25.964175*mm     -19.368836*mm      22.909566*mm     -20.855773*mm      21.564711*mm     -14.311801*mm      30.841082*mm     -12.219884*mm      31.728133*mm     -10.782251*mm      27.995412*mm     -12.628060*mm      27.212719*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 18 side manual 0 
superlayer1_layer1_ahdccell18_subcell2  |         ahdc_mother  |         AHDCcell 18 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -20.855773*mm      21.564711*mm     -22.249563*mm      20.123542*mm     -25.216172*mm      22.806681*mm     -23.636543*mm      24.440005*mm     -12.628060*mm      27.212719*mm     -14.417469*mm      26.308489*mm     -16.339798*mm      29.816287*mm     -14.311801*mm      30.841082*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 18 side manual 0 
superlayer1_layer1_ahdccell19_subcell1  |         ahdc_mother  |         AHDCcell 19 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -26.683179*mm      21.071496*mm     -25.216172*mm      22.806681*mm     -22.249563*mm      20.123542*mm     -23.543982*mm      18.592497*mm     -18.294818*mm      28.658326*mm     -16.339798*mm      29.816287*mm     -14.417469*mm      26.308489*mm     -16.142487*mm      25.286758*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 19 side manual 0 
superlayer1_layer1_ahdccell19_subcell2  |         ahdc_mother  |         AHDCcell 19 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -23.543982*mm      18.592497*mm     -24.733247*mm      16.978413*mm     -28.031013*mm      19.242201*mm     -26.683179*mm      21.071496*mm     -16.142487*mm      25.286758*mm     -17.795408*mm      24.152090*mm     -20.168129*mm      27.372369*mm     -18.294818*mm      28.658326*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 19 side manual 0 
superlayer1_layer1_ahdccell20_subcell1  |         ahdc_mother  |         AHDCcell 20 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm     -29.253654*mm      17.326966*mm     -28.031013*mm      19.242201*mm     -24.733247*mm      16.978413*mm     -25.812047*mm      15.288499*mm     -21.951363*mm      25.964161*mm     -20.168129*mm      27.372369*mm     -17.795408*mm      24.152090*mm     -19.368850*mm      22.909554*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 20 side manual 0 
