superlayer1_layer1_ahdccell12_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm       3.403254*mm      33.829246*mm       5.655198*mm      33.526389*mm       4.989881*mm      29.582108*mm       3.002871*mm      29.849334*mm      -8.372271*mm      32.953074*mm      -6.152552*mm      33.438692*mm      -5.428723*mm      29.504728*mm      -7.387298*mm      29.076242*mm  |  1 1 12
superlayer1_layer1_ahdccell12_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm       3.002871*mm      29.849334*mm       1.002449*mm      29.983247*mm       1.136109*mm      33.981013*mm       3.403254*mm      33.829246*mm      -7.387298*mm      29.076242*mm      -9.312880*mm      28.517894*mm     -10.554598*mm      32.320280*mm      -8.372271*mm      32.953074*mm  |  1 1 12
superlayer1_layer1_ahdccell13_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -1.136109*mm      33.981013*mm       1.136109*mm      33.981013*mm       1.002449*mm      29.983247*mm      -1.002449*mm      29.983247*mm     -12.689784*mm      31.543135*mm     -10.554598*mm      32.320280*mm      -9.312880*mm      28.517894*mm     -11.196869*mm      27.832178*mm  |  1 1 13
superlayer1_layer1_ahdccell13_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -1.002449*mm      29.983247*mm      -3.002871*mm      29.849334*mm      -3.403254*mm      33.829246*mm      -1.136109*mm      33.981013*mm     -11.196869*mm      27.832178*mm     -13.030849*mm      27.022157*mm     -14.768296*mm      30.625111*mm     -12.689784*mm      31.543135*mm  |  1 1 13
superlayer1_layer1_ahdccell14_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -5.655198*mm      33.526389*mm      -3.403254*mm      33.829246*mm      -3.002871*mm      29.849334*mm      -4.989881*mm      29.582108*mm     -16.780848*mm      29.570308*mm     -14.768296*mm      30.625111*mm     -13.030849*mm      27.022157*mm     -14.806631*mm      26.091449*mm  |  1 1 14
superlayer1_layer1_ahdccell14_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -4.989881*mm      29.582108*mm      -6.954605*mm      29.182760*mm      -7.881885*mm      33.073795*mm      -5.655198*mm      33.526389*mm     -14.806631*mm      26.091449*mm     -16.516282*mm      25.044209*mm     -18.718453*mm      28.383437*mm     -16.780848*mm      29.570308*mm  |  1 1 14
superlayer1_layer1_ahdccell15_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -10.073370*mm      32.473485*mm      -7.881885*mm      33.073795*mm      -6.954605*mm      29.182760*mm      -8.888267*mm      28.653075*mm     -20.572457*mm      27.069799*mm     -18.718453*mm      28.383437*mm     -16.516282*mm      25.044209*mm     -18.152168*mm      23.885117*mm  |  1 1 15
superlayer1_layer1_ahdccell15_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      -8.888267*mm      28.653075*mm     -10.782233*mm      27.995418*mm     -12.219864*mm      31.728141*mm     -10.073370*mm      32.473485*mm     -18.152168*mm      23.885117*mm     -19.706982*mm      22.619347*mm     -22.334580*mm      25.635260*mm     -20.572457*mm      27.069799*mm  |  1 1 15
superlayer1_layer1_ahdccell16_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -14.311782*mm      30.841091*mm     -12.219864*mm      31.728141*mm     -10.782233*mm      27.995418*mm     -12.628043*mm      27.212727*mm     -23.996950*mm      24.086228*mm     -22.334580*mm      25.635260*mm     -19.706982*mm      22.619347*mm     -21.173780*mm      21.252554*mm  |  1 1 16
superlayer1_layer1_ahdccell16_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -12.628043*mm      27.212727*mm     -14.417453*mm      26.308498*mm     -16.339780*mm      29.816298*mm     -14.311782*mm      30.841091*mm     -21.173780*mm      21.252554*mm     -22.546010*mm      19.790842*mm     -25.552145*mm      22.429621*mm     -23.996950*mm      24.086228*mm  |  1 1 16
superlayer1_layer1_ahdccell17_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -18.294800*mm      28.658337*mm     -16.339780*mm      29.816298*mm     -14.417453*mm      26.308498*mm     -16.142471*mm      25.286768*mm     -26.993217*mm      20.672838*mm     -25.552145*mm      22.429621*mm     -22.546010*mm      19.790842*mm     -23.817545*mm      18.240739*mm  |  1 1 17
superlayer1_layer1_ahdccell17_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -16.142471*mm      25.286768*mm     -17.795392*mm      24.152102*mm     -20.168111*mm      27.372382*mm     -18.294800*mm      28.658337*mm     -23.817545*mm      18.240739*mm     -24.982704*mm      16.609169*mm     -28.313731*mm      18.823725*mm     -26.993217*mm      20.672838*mm  |  1 1 17
superlayer1_layer1_ahdccell18_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -21.951347*mm      25.964175*mm     -20.168111*mm      27.372382*mm     -17.795392*mm      24.152102*mm     -19.368836*mm      22.909566*mm     -29.507789*mm      16.890541*mm     -28.313731*mm      18.823725*mm     -24.982704*mm      16.609169*mm     -26.036285*mm      14.903418*mm  |  1 1 18
superlayer1_layer1_ahdccell18_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -19.368836*mm      22.909566*mm     -20.855773*mm      21.564711*mm     -23.636543*mm      24.440005*mm     -21.951347*mm      25.964175*mm     -26.036285*mm      14.903418*mm     -26.973581*mm      13.131105*mm     -30.570059*mm      14.881919*mm     -29.507789*mm      16.890541*mm  |  1 1 18
superlayer1_layer1_ahdccell19_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -25.216172*mm      22.806681*mm     -23.636543*mm      24.440005*mm     -20.855773*mm      21.564711*mm     -22.249563*mm      20.123542*mm     -31.495795*mm      12.806831*mm     -30.570059*mm      14.881919*mm     -26.973581*mm      13.131105*mm     -27.790407*mm      11.300145*mm  |  1 1 19
superlayer1_layer1_ahdccell19_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm     -22.249563*mm      20.123542*mm     -23.543982*mm      18.592497*mm     -26.683179*mm      21.071496*mm     -25.216172*mm      22.806681*mm     -27.790407*mm      11.300145*mm     -28.483114*mm       9.418716*mm     -32.280863*mm      10.674545*mm     -31.495795*mm      12.806831*mm  |  1 1 19
