              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal2_18  |          ddvcs_ecal  |        ft crystal (h:2, v:18)  |-308.066457124327*mm -60.0664571243268*mm 629.787605877598*mm  |-5.44820396730436*deg 26.0662690206773*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 18 
      ddvcs_ecal2_19  |          ddvcs_ecal  |        ft crystal (h:2, v:19)  |-308.066457124327*mm -44.5664571243268*mm 630.883998327673*mm  |-4.04077713566831*deg 26.0269528389981*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 19 
      ddvcs_ecal2_20  |          ddvcs_ecal  |        ft crystal (h:2, v:20)  |-308.066457124327*mm -29.0664571243268*mm 631.661068730595*mm  |-2.63468610897843*deg 25.9991541624137*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 20 
      ddvcs_ecal2_21  |          ddvcs_ecal  |        ft crystal (h:2, v:21)  |-308.066457124327*mm -13.5664571243268*mm 632.113104787896*mm  |-1.22951018486456*deg 25.9830085683161*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 21 
      ddvcs_ecal2_22  |          ddvcs_ecal  |        ft crystal (h:2, v:22)  |-308.066457124327*mm 1.9335428756732*mm 632.236720926202*mm  |0.175226538929416*deg 25.9785965584558*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 22 
      ddvcs_ecal2_23  |          ddvcs_ecal  |        ft crystal (h:2, v:23)  |-308.066457124327*mm 17.4335428756732*mm 632.030983150129*mm  |1.58002633343183*deg 25.9859403601032*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 23 
      ddvcs_ecal2_24  |          ddvcs_ecal  |        ft crystal (h:2, v:24)  |-308.066457124327*mm 32.9335428756732*mm 631.497443987935*mm  |2.98538768756308*deg 26.0050030305643*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 24 
      ddvcs_ecal2_25  |          ddvcs_ecal  |        ft crystal (h:2, v:25)  |-308.066457124327*mm 48.4335428756732*mm 630.640084522951*mm  |4.39177534768519*deg 26.0356899425945*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 25 
      ddvcs_ecal2_26  |          ddvcs_ecal  |        ft crystal (h:2, v:26)  |-308.066457124327*mm 63.9335428756732*mm 629.465168484715*mm  |5.79959203929257*deg 26.0778525224445*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 26 
      ddvcs_ecal2_27  |          ddvcs_ecal  |        ft crystal (h:2, v:27)  |-308.066457124327*mm 79.4335428756732*mm 627.981020601529*mm  |7.2091532019535*deg 26.1312939259628*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 27 
