              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ddvcs_ecal14_16  |          ddvcs_ecal  |       ft crystal (h:14, v:16)  |         -131.75*mm -100.75*mm 692.338911674115*mm  |-8.27971962216827*deg 10.7745006978443*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 16 
     ddvcs_ecal14_17  |          ddvcs_ecal  |       ft crystal (h:14, v:17)  |          -131.75*mm -85.25*mm 696.113575827935*mm  |-6.98207088601319*deg 10.7174329944183*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 17 
     ddvcs_ecal14_18  |          ddvcs_ecal  |       ft crystal (h:14, v:18)  |          -131.75*mm -69.75*mm 699.431651889236*mm  |-5.6949849391294*deg 10.6677594623609*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 18 
     ddvcs_ecal14_19  |          ddvcs_ecal  |       ft crystal (h:14, v:19)  |           -131.75*mm -54.25*mm 702.21761315354*mm  |-4.41767117492791*deg 10.62640216304*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 19 
     ddvcs_ecal14_20  |          ddvcs_ecal  |       ft crystal (h:14, v:20)  |          -131.75*mm -38.75*mm 704.394780329357*mm  |-3.1488008695791*deg 10.5943023484074*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 20 
     ddvcs_ecal14_21  |          ddvcs_ecal  |       ft crystal (h:14, v:21)  |          -131.75*mm -23.25*mm 705.892781408411*mm  |-1.88648948593308*deg 10.5723271634499*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 21 
     ddvcs_ecal14_22  |          ddvcs_ecal  |       ft crystal (h:14, v:22)  |           -131.75*mm -7.75*mm 706.656867182133*mm  |-0.628351786435513*deg 10.5611529494183*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 22 
     ddvcs_ecal14_23  |          ddvcs_ecal  |       ft crystal (h:14, v:23)  |            -131.75*mm 7.75*mm 706.656867182133*mm  |0.628351786435513*deg 10.5611529494183*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 23 
     ddvcs_ecal14_24  |          ddvcs_ecal  |       ft crystal (h:14, v:24)  |           -131.75*mm 23.25*mm 705.892781408411*mm  |1.88648948593308*deg 10.5723271634499*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 24 
     ddvcs_ecal14_25  |          ddvcs_ecal  |       ft crystal (h:14, v:25)  |           -131.75*mm 38.75*mm 704.394780329357*mm  |3.1488008695791*deg 10.5943023484074*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 14 iv manual 25 
